FBS Time Capsule 2010
ACC,Atlantic,Coastal,,,,,,,,,,,
BIG10,Legends,Leaders,,,,,,,,,,,
BIG12,North,South,,,,,,,,,,,
MWC,Mountain,West,,,,,,,,,,,
PAC10,North,South,,,,,,,,,,,
SEC,Eastern,Western,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
TEAM,BIG10,Leaders,Minnesota,MINN,50,IOWA,,,,,,,
# BIG12,,,,,,,,,,,,,
TEAM,BIG12,North,Nebraska,NEB,75,COLO,,,,,,,
TEAM,BIG12,North,Iowa State,ISU,60,MIZ,,,,,,,
TEAM,BIG12,North,Kansas,KANS,50,KSU,,,,,,,
TEAM,BIG12,North,Texas Tech,TTU,70,BAY,,,,,,,
TEAM,BIG12,North,Texas A&M,TAMU,75,TEX,,,,,,,
TEAM,BIG12,North,Oklahoma State,OKST,80,OKLA,,,,,,,
TEAM,BIG12,North,Houston,HOU,60,RICE,,,,,,,
TEAM,BIG12,South,Colorado,COLO,60,NEB,,,,,,,
TEAM,BIG12,South,Missouri,MIZ,80,ISU,,,,,,,
TEAM,BIG12,South,Kansas State,KSU,65,KANS,,,,,,,
TEAM,BIG12,South,Baylor,BAY,65,TTU,,,,,,,
TEAM,BIG12,South,Texas,TEX,60,TAMU,,,,,,,
TEAM,BIG12,South,Oklahoma,OKLA,85,OKST,,,,,,,
TEAM,BIG12,South,Rice,RICE,55,HOU,,,,,,,
# MWC,,,,,,,,,,,,,
TEAM,MWC,Mountain,Utah,UTAH,75,BYU,,,,,,,
TEAM,MWC,Mountain,UNLV,UNLV,45,NEV,,,,,,,
TEAM,MWC,Mountain,Boise State,BSU,85,IDA,,,,,,,
TEAM,MWC,Mountain,New Mexico,UNM,45,NMST,,,,,,,
TEAM,MWC,Mountain,Colorado State,CSU,50,WYO,,,,,,,
TEAM,MWC,Mountain,SMU,SMU,65,TCU,,,,,,,
TEAM,MWC,Mountain,Air Force,AF,70,USU,,,,,,,
TEAM,MWC,West,BYU,BYU,65,UTAH,,,,,,,
TEAM,MWC,West,Nevada,NEV,80,UNLV,,,,,,,
TEAM,MWC,West,Idaho,IDA,60,BSU,,,,,,,
TEAM,MWC,West,New Mexico State,NMST,45,UNM,,,,,,,
TEAM,MWC,West,Wyoming,WYO,50,CSU,,,,,,,
TEAM,MWC,West,TCU,TCU,90,SMU,,,,,,,
TEAM,MWC,West,Utah State,USU,50,AF,,,,,,,
# PAC10,,,,,,,,,,,,,
TEAM,PAC10,North,Oregon State,ORST,60,ORE,,,,,,,
TEAM,PAC10,North,Washington,WASH,65,WSU,,,,,,,
TEAM,PAC10,North,Arizona State,ASU,60,ARIZ,,,,,,,
TEAM,PAC10,North,USC,USC,70,UCLA,,,,,,,
TEAM,PAC10,North,Stanford,STAN,90,CAL,,,,,,,
TEAM,PAC10,North,San Jose State,SJSU,45,FRES,,,,,,,
TEAM,PAC10,North,San Diego State,SDSU,70,HAW,,,,,,,
TEAM,PAC10,South,Oregon,ORE,90,ORST,,,,,,,
TEAM,PAC10,South,Washington State,WSU,45,WASH,,,,,,,
TEAM,PAC10,South,Arizona,ARIZ,65,ASU,,,,,,,
TEAM,PAC10,South,UCLA,UCLA,55,USC,,,,,,,
TEAM,PAC10,South,California,CAL,60,STAN,,,,,,,
TEAM,PAC10,South,Fresno State,FRES,70,SJSU,,,,,,,
TEAM,PAC10,South,Hawaii,HAW,75,SDSU,,,,,,,
# SEC,,,,,,,,,,,,,
TEAM,SEC,Eastern,Florida,FLA,70,FSU,,,,,,,
TEAM,SEC,Eastern,Georgia,UGA,60,GT,,,,,,,
TEAM,SEC,Eastern,Tennessee,TEN,60,UK,,,,,,,
TEAM,SEC,Eastern,Auburn,AUB,90,ALA,,,,,,,
TEAM,SEC,Eastern,LSU,LSU,80,ARK,,,,,,,
TEAM,SEC,Eastern,Ole Miss,MISS,55,MSST,,,,,,,
TEAM,SEC,Eastern,Southern Miss,USM,70,LATK,,,,,,,
TEAM,SEC,Western,Florida State,FSU,75,FLA,,,,,,,
TEAM,SEC,Western,Georgia Tech,GT,60,UGA,,,,,,,
TEAM,SEC,Western,Kentucky,UK,60,TEN,,,,,,,
TEAM,SEC,Western,Alabama,ALA,80,AUB,,,,,,,
TEAM,SEC,Western,Arkansas,ARK,85,LSU,,,,,,,
TEAM,SEC,Western,Mississippi State,MSST,75,MISS,,,,,,,
TEAM,SEC,Western,Louisiana Tech,LATK,60,USM,,,,,,,
END_FILE,,,,,,,,,,,,,
